CITY,CIRCLE,STD
CHAKARDHARPUR,BIHAR & JHARKHAND  ,6587  
CHAKIA,UTTAR PRADESH(EAST)  ,5413  
CHAKPIKARONG,NORTH EAST  ,3878  
CHAKRATA (DAKPATHER),UTTAR PRADESH(WEST) & UTTARAKHAND  ,1360  
CHALISGAON,MAHARASHTRA  ,2589  
CHALLAKERE,KARNATAKA  ,8195  
CHAMBA,HIMACHAL PRADESH  ,1899  
CHAMOLI,UTTAR PRADESH(WEST) & UTTARAKHAND  ,1372  
CHAMORSHI,MAHARASHTRA  ,7135  
CHAMPA-I,NORTH EAST  ,3831  
CHAMPADANGA,WEST BENGAL & ANDAMAN NIKOBAR  ,3212  
CHAMPAI-II (CHIAPUI),NORTH EAST  ,3830  
CHAMPAWAT,UTTAR PRADESH(WEST) & UTTARAKHAND  ,5965  
CHAMRAJNAGAR,KARNATAKA  ,8226  
CHANASMA,GUJRAT  ,2734  
CHANDAULI (MUGALSARAI),UTTAR PRADESH(EAST)  ,5412  
CHANDBALI,ORISSA  ,6786  
CHANDEL,NORTH EAST  ,3872  
